locale,format_pattern
en_US,+1 (123) 456-7890
en_US,+1-234-567-8901
en_US,(345) 678-9012
en_US,+1 (456) 789-0123
en_US,+1-567-890-1234
en_US,(678) 901-2345
en_US,+1 (201) 555-0123
en_US,+1-212-555-0198
en_US,(305) 555-1234
en_US,+1 (310) 555-5678
en_US,+1-415-555-7890
en_US,(510) 555-2345
en_US,+1 (602) 555-3456
en_US,+1-713-555-4567
en_US,(818) 555-6789
en_US,+1 (917) 555-8901
en_US,+1-202-555-9012
en_US,(303) 555-0124
en_US,+1 (404) 555-1235
en_US,+1-505-555-2346
en_US,(615) 555-3457
en_US,+1 (702) 555-4568
en_US,+1-713-555-5679
en_US,(816) 555-6780
en_US,+1 (901) 555-7891
en_US,+1-206-555-8902
en_US,(312) 555-9013
en_US,+1 (414) 555-0125
en_US,+1-512-555-1236
en_US,(602) 555-2347
en_US,+1 (713) 555-3458
en_US,+1-818-555-4569
en_US,(919) 555-5670
en_US,+1 (305) 555-6781
en_US,+1-407-555-7892
en_US,(512) 555-8903
en_US,+1 (602) 555-9014
en_US,+1-713-555-0126
en_US,(817) 555-1237
en_US,+1 (918) 555-2348
en_US,+1-214-555-3459
en_US,(316) 555-4560
en_US,+1 (417) 555-5671
en_US,+1-520-555-6782
en_US,(623) 555-7893
en_US,+1 (725) 555-8904
en_US,+1-830-555-9015
en_US,(936) 555-0127
en_US,+1 (214) 555-1238
en_US,+1-316-555-2349
en_US,(417) 555-3450
en_US,+1 (520) 555-4561
en_US,+1-623-555-5672
en_US,(725) 555-6783
en_US,+1 (830) 555-7894
en_US,+1-936-555-8905
en_US,(210) 555-9016
en_US,+1 (325) 555-0128
en_US,+1-432-555-1239
en_US,(512) 555-2340
en_US,+1 (682) 555-3451
en_US,+1-806-555-4562
en_US,(817) 555-5673
en_US,+1 (903) 555-6784
en_US,+1-940-555-7895
en_US,(956) 555-8906
en_US,+1 (210) 555-9017
en_US,+1-254-555-0129
en_US,(281) 555-1230
en_US,+1 (346) 555-2341
en_US,+1-409-555-3452
de_DE,+49 (123) 456-7890
de_DE,+49-234-567-8901
de_DE,(345) 678-9012
de_DE,+49 (456) 789-0123
de_DE,+49-567-890-1234
de_DE,(678) 901-2345
de_DE,+49 (30) 12345678
de_DE,+49-89-1234567
de_DE,(40) 12345678
de_DE,+49 (69) 12345678
de_DE,+49-211-1234567
de_DE,(221) 12345678
de_DE,+49 (231) 1234567
de_DE,+49-251-1234567
de_DE,(341) 12345678
de_DE,+49 (421) 1234567
de_DE,+49-531-1234567
de_DE,(611) 12345678
de_DE,+49 (621) 1234567
de_DE,+49-711-12345678
de_DE,(721) 1234567
de_DE,+49 (731) 1234567
de_DE,+49-761-1234567
de_DE,(821) 12345678
de_DE,+49 (831) 1234567
de_DE,+49-911-12345678
de_DE,(931) 1234567
de_DE,+49 (351) 12345678
de_DE,+49-361-1234567
de_DE,(371) 12345678
de_DE,+49 (381) 1234567
de_DE,+49-391-12345678
de_DE,(401) 1234567
de_DE,+49 (441) 12345678
de_DE,+49-451-1234567
de_DE,(461) 12345678
de_DE,+49 (471) 1234567
de_DE,+49-511-12345678
de_DE,(521) 1234567
de_DE,+49 (531) 12345678
de_DE,+49-541-1234567
de_DE,(551) 12345678
de_DE,+49 (561) 1234567
de_DE,+49-571-12345678
de_DE,(581) 1234567
de_DE,+49 (591) 12345678
de_DE,+49-601-1234567
de_DE,(611) 1234567
de_DE,+49 (621) 12345678
de_DE,+49-631-1234567
de_DE,(641) 12345678
de_DE,+49 (651) 1234567
de_DE,+49-661-12345678
de_DE,(671) 1234567
de_DE,+49 (681) 12345678
de_DE,+49-691-1234567
de_DE,(701) 12345678
de_DE,+49 (711) 1234567
de_DE,+49-721-12345678
de_DE,(731) 1234567
de_DE,+49 (741) 12345678
de_DE,+49-751-1234567
de_DE,(761) 12345678
de_DE,+49 (771) 1234567
de_DE,+49-781-12345678
de_DE,(791) 1234567
